"id","name","age","rating","value","wage","nationality","photo"
158023,"L. Messi",31,94,110500000,565000,"Argentina","https://cdn.sofifa.org/players/4/19/158023.png"
20801,"Cristiano Ronaldo",33,94,7.7e+07,405000,"Portugal","https://cdn.sofifa.org/players/4/19/20801.png"
190871,"Neymar Jr",26,92,118500000,290000,"Brazil","https://cdn.sofifa.org/players/4/19/190871.png"
193080,"De Gea",27,91,7.2e+07,260000,"Spain","https://cdn.sofifa.org/players/4/19/193080.png"
192985,"K. De Bruyne",27,91,1.02e+08,355000,"Belgium","https://cdn.sofifa.org/players/4/19/192985.png"
183277,"E. Hazard",27,91,9.3e+07,340000,"Belgium","https://cdn.sofifa.org/players/4/19/183277.png"
177003,"L. Modric",32,91,6.7e+07,420000,"Croatia","https://cdn.sofifa.org/players/4/19/177003.png"
176580,"L. Suarez",31,91,8e+07,455000,"Uruguay","https://cdn.sofifa.org/players/4/19/176580.png"
155862,"Sergio Ramos",32,91,5.1e+07,380000,"Spain","https://cdn.sofifa.org/players/4/19/155862.png"
200389,"J. Oblak",25,90,6.8e+07,94000,"Slovenia","https://cdn.sofifa.org/players/4/19/200389.png"
188545,"R. Lewandowski",29,90,7.7e+07,205000,"Poland","https://cdn.sofifa.org/players/4/19/188545.png"
182521,"T. Kroos",28,90,76500000,355000,"Germany","https://cdn.sofifa.org/players/4/19/182521.png"
182493,"D. Godin",32,90,4.4e+07,125000,"Uruguay","https://cdn.sofifa.org/players/4/19/182493.png"
168542,"David Silva",32,90,6e+07,285000,"Spain","https://cdn.sofifa.org/players/4/19/168542.png"
215914,"N. Kante",27,89,6.3e+07,225000,"France","https://cdn.sofifa.org/players/4/19/215914.png"
211110,"P. Dybala",24,89,8.9e+07,205000,"Argentina","https://cdn.sofifa.org/players/4/19/211110.png"
202126,"H. Kane",24,89,83500000,205000,"England","https://cdn.sofifa.org/players/4/19/202126.png"
194765,"A. Griezmann",27,89,7.8e+07,145000,"France","https://cdn.sofifa.org/players/4/19/194765.png"
192448,"M. ter Stegen",26,89,5.8e+07,240000,"Germany","https://cdn.sofifa.org/players/4/19/192448.png"
