"type","title","attendance","speaker","time","room","url","concurrent_sessions","concurrent_attendance","expected","attendance_ratio","id"
"Conference Event","Shuttle Buses",11,NA,2017-07-03 17:00:00,"Brussels South Train Station","https://user2017.sched.com/event/BLED",1,11,966,0.01,"1"
"R Initiatives","Meet and greet diversity scholars",59,NA,2017-07-03 18:00:00,"Wild Gallery","https://user2017.sched.com/event/Avzn",1,59,966,0.06,"2"
"R Initiatives","Sessions for useR! Newbies",151,NA,2017-07-03 18:30:00,"PLENARY","https://user2017.sched.com/event/Avzo",1,151,966,0.16,"3"
"Conference Event","REGISTRATION",382,NA,2017-07-04 08:00:00,"Wild Gallery","https://user2017.sched.com/event/Avzp",1,382,966,0.4,"4"
"Tutorial","Data Carpentry: Open and Reproducible Research with R",112,"Mine Cetinkaya-Rundel",2017-07-04 09:30:00,"2.02","https://user2017.sched.com/event/Avzs",8,877,121,0.93,"5"
"Tutorial","Dose-response analysis using R",42,"Signe M. Jensen",2017-07-04 09:30:00,"4.02","https://user2017.sched.com/event/Avzx",8,877,121,0.35,"6"
"Tutorial","Geospatial visualization using R",103,"Bhaskar V. Karambelkar",2017-07-04 09:30:00,"4.03","https://user2017.sched.com/event/Avzt",8,877,121,0.85,"7"
"Tutorial","Introduction to Bayesian inference with JAGS",85,"Martyn Plummer",2017-07-04 09:30:00,"2.01","https://user2017.sched.com/event/Avzr",8,877,121,0.7,"8"
"Tutorial","Introduction to parallel computing with R",154,"Hana Ševcíková",2017-07-04 09:30:00,"3.01","https://user2017.sched.com/event/Avzv",8,877,121,1.27,"9"
"Tutorial","Rcpp: From Simple Examples to Machine Learning",181,"Dirk Eddelbuettel",2017-07-04 09:30:00,"PLENARY","https://user2017.sched.com/event/Avzq",8,877,121,1.5,"10"
"Tutorial","Solving iteration problems with purrr",137,"Charlotte Wickham",2017-07-04 09:30:00,"3.02","https://user2017.sched.com/event/Avzu",8,877,121,1.13,"11"
"Tutorial","Sports Analytics with R",63,"Stephanie Kovalchik",2017-07-04 09:30:00,"4.01","https://user2017.sched.com/event/Avzw",8,877,121,0.52,"12"
